question,expected_answer,source
"What is the total liability cap for the owner-driver personal accident cover bundled with a private car's own-damage and third-party cover, and what percentage of that sum is paid for accidental death?","The total liability of the insurer is capped at Rs. 15 lakhs during any one period of insurance, and 100% of the sum is payable on death.","private-car-package-policy-wording.txt — Section III, Personal Accident Cover for Owner-Driver, Proviso I"
Within how many calendar months of the injury must death or disablement occur for an owner-driver personal accident benefit to be payable under a bundled private car cover?,The death or disablement must occur within six calendar months of the injury for compensation to be payable.,"private-car-package-policy-wording.txt — Section III, Personal Accident Cover for Owner-Driver"
"If an owner-driver is injured in an accident while under the influence of alcohol, is a personal accident claim payable under a private car own-damage-plus-liability cover?",No. No compensation is payable if the accident happens while the person is under the influence of intoxicating liquor or drugs (or from intentional self-injury/suicide).,"private-car-package-policy-wording.txt — Chapter 1, Section III, Proviso II"
"What depreciation rate is applied to rubber, nylon, plastic parts, tyres, tubes, batteries and air bags when they are replaced under an own-damage claim on a private car?","A 50% depreciation deduction applies to rubber/nylon/plastic parts, tyres and tubes, batteries and air bags.","private-car-package-policy-wording.txt — Section I, Loss of or Damage to the Vehicle Insured"
"What activities fall outside the permitted 'Limitations as to Use' for a privately used car covered under an own-damage-plus-liability cover, such that cover would not apply?","Cover excludes use for hire or reward, carriage of goods (other than samples or personal luggage), organised racing, pace making, reliability trials or speed testing, and any purpose connected with motor trade.","private-car-package-policy-wording.txt — Chapter 4, Limitations as to Use"
"If the sole insured under a bundled private car cover dies, for how long does the policy remain valid before it lapses, allowing legal heirs to transfer or renew it?","The policy remains valid for three months from the date of the insured's death, or until the policy's original expiry date, whichever is earlier.","private-car-package-policy-wording.txt — Chapter 2, Condition VIII"
What scale of compensation is payable for the loss of one limb or sight of one eye under a standalone compulsory owner-driver personal accident cover?,50% of the Sum Insured is payable for the loss of one limb or sight of one eye.,"compulsory-personal-accident-owner-driver-policy-wording.txt — Chapter 1, Nature of Injury scale, Item III"
"Under a standalone compulsory owner-driver personal accident cover, what are the two grounds specified as circumstances under which no compensation is payable?","No compensation is payable for injury/death from (1) intentional self-injury, suicide or attempted suicide, or physical defect/infirmity, or (2) an accident occurring while under the influence of intoxicating liquor, drugs or other substance abuse.","compulsory-personal-accident-owner-driver-policy-wording.txt — Chapter 1, Proviso II / Chapter 2, Exclusion I"
"On what sole ground can the insurer unilaterally cancel a standalone compulsory owner-driver personal accident policy, and what notice period must be given?","The insurer can cancel the policy only on grounds of established fraud, and must give the retail policyholder a minimum of 7 days' notice.","compulsory-personal-accident-owner-driver-policy-wording.txt — Chapter 2, Condition I"
Within how many days of an event must the insured submit a detailed written claim statement under a standalone owner-driver personal accident cover?,The insured must deliver a detailed written statement (claim form and supporting particulars) within 30 days of the date the event came to their knowledge.,"compulsory-personal-accident-owner-driver-policy-wording.txt — Chapter 3, Basis of Assessment of Claim, A(ii)"
Is coverage available under a standalone owner-driver personal accident cover if the injury or death occurred outside Indian Territory?,No. The cover explicitly excludes any bodily injury or death sustained by the owner-driver outside the Indian Territory.,"compulsory-personal-accident-owner-driver-policy-wording.txt — Chapter 2, Exclusions, Item III"
"Under a commercial goods-carrying vehicle's third-party liability cover, does the indemnity extend to damage to property belonging to the insured or held in the insured's custody?",No. The cover indemnifies damage to property other than property belonging to the insured or held in trust or in the custody or control of the insured.,"goods-carrying-vehicle-liability-policy-wording.txt — Chapter 1, Section II, Clause 1.I.b"
Is the insurer liable for a third-party claim if a goods-carrying commercial vehicle was being driven by someone who does not qualify as a covered driver under the applicable driver eligibility clause?,"No, the Company is not liable for any claim arising while the vehicle is driven by, or in the charge of, a person other than a Driver as stated in the Driver's Clause.","goods-carrying-vehicle-liability-policy-wording.txt — Chapter 2, General Exceptions, I.b"
"Under the special exclusions endorsement applicable to commercial vehicles (excluding taxis and two-wheelers used for hire), which vehicle parts are excluded from partial-loss claims unless the loss is a Total Loss?","Lamps, tyres/tubes, mudguards, bonnet side parts, bumpers and paint work are excluded from claims under Section I unless it is a Total Loss of the vehicle.","goods-carrying-vehicle-liability-policy-wording.txt — Chapter 3, IMT.21 Special Exclusions and Compulsory Deductible"
"According to the claim procedure for a commercial goods-carrying vehicle policy, what is the insured's first responsibility following a third-party accident?",The insured must ensure the accident victim gets immediate medical help at the nearest hospital.,"goods-carrying-vehicle-liability-policy-wording.txt — Chapter 6, Claim Procedure, Your Responsibilities in a Third-Party Claim"
For how long is the personal accident cover for the owner-driver mandatory under a commercial goods-carrying vehicle liability policy?,"The personal accident cover for owner-driver is mandatory for a period of one year, and may be extended in line with the policy duration at the customer's discretion.","goods-carrying-vehicle-liability-policy-wording.txt — Chapter 1, Section III, Proviso III"
"In an accident/health benefit policy, how is a 'Pre-Existing Disease' defined in terms of the diagnosis timeframe relative to the policy's commencement?","A Pre-Existing Disease is any condition, ailment, injury or disease diagnosed by a physician, or for which medical advice/treatment was received, not more than 36 months prior to the policy's commencement date.","personal-protect-policy_policy-wordings.txt — Part II, Definitions, A.7"
"What is the standard grace period for premium payment when the payment mode is monthly, versus all other modes, under a personal accident benefit-based policy?","The grace period is 15 days when the premium payment mode is monthly, and 30 days for all other payment modes.","personal-protect-policy_policy-wordings.txt — Part II, Definitions, A.4 Grace Period"
"Under a lump-sum accidental death benefit, must the death occur within a fixed period after the accident, and what happens if the accident itself occurs after the policy has expired?","Death must result solely and directly from an Injury within twelve months of the accident, and the accident causing the injury must have occurred within the Policy Period.","personal-protect-policy_policy-wordings.txt — Section 2.1 (Section A), Benefit 1"
What percentage of Sum Insured is payable for loss of use of one entire hand under a permanent partial disablement benefit scale?,50% of the Sum Insured is payable for loss of use or physical separation of one entire hand.,"personal-protect-policy_policy-wordings.txt — Section A, Benefit 3, Permanent Partial Disablement table"
Is a claim payable under a personal accident benefit policy if the insured person is injured while scuba diving or bungee jumping without any specific extension for such activities?,"No, injury or death from participation in hazardous activities such as scuba diving, bungee jumping, mountain climbing, and similar sports is excluded unless specifically covered under the policy.","personal-protect-policy_policy-wordings.txt — Part IV, Exclusions and Limitations, B.v.a"
"If a policyholder requests cancellation of an accident benefit policy more than 30 days after the free-look period has ended, is a pro-rata refund of premium available?","Yes, if the cancellation request comes 30 days after the Policy Period start date, a pro-rata refund of premium is paid.","personal-protect-policy_policy-wordings.txt — Part II, Condition 13, Free Look Up Period"
"Under the standard exclusions applicable to certain benefit extensions of a personal accident/health benefit policy, are expenses related to cosmetic or plastic surgery covered?","No, cosmetic or plastic surgery expenses are excluded unless required for reconstruction following an accident, burns, or cancer, or as medically necessary treatment certified by the attending Medical Practitioner.","personal-protect-policy_policy-wordings.txt — Part IV, Standard Exclusions, A.4"
"Compare an owner-driver personal accident benefit bundled with an own-damage and third-party cover against a standalone compulsory owner-driver personal accident cover: which one specifies a fixed Rs. 15 lakh aggregate liability cap, and which leaves the sum insured to be filled in the schedule?","The bundled own-damage/liability package cover fixes the aggregate owner-driver PA liability at Rs. 15 lakhs in its wording, while the standalone compulsory owner-driver personal accident cover leaves the Sum Insured amount ('XX') to be specified in the policy schedule rather than fixing it in the wording itself.","private-car-package-policy-wording.txt — Section III, Proviso I; compulsory-personal-accident-owner-driver-policy-wording.txt — Chapter 1, Sum Insured column"
Two different private car covers both include a 'Limitations as to Use' clause — one an own-damage-plus-liability cover and the other a liability-only multi-year cover. What activities do both exclude from coverage under this clause?,"Both exclude use for hire or reward, carriage of goods (other than samples or personal luggage), organised racing, pace making, reliability trials or speed testing, and any purpose connected with motor trade.","private-car-package-policy-wording.txt — Chapter 4, Limitations as to Use; 3-years-private-car-liability-policy.txt — Chapter 4, Limitations as to Use"
Compare the third-party liability indemnity clause of a commercial goods-carrying vehicle cover and a private car liability-only cover: what common carve-out do both apply regarding death or bodily injury to a person employed by the insured?,"Both indemnify death or bodily injury only so far as necessary to meet Motor Vehicles Act requirements, and the private car liability cover explicitly states the Company is not liable where such death or injury arises out of and in the course of employment of that person by the insured; the goods-carrying vehicle cover applies the equivalent Motor Vehicles Act-limited indemnity for such injury.","goods-carrying-vehicle-liability-policy-wording.txt — Chapter 1, Section II, Clause 1.I.a; 3-years-private-car-liability-policy.txt — Section II, Clause 1.I.a"
